,Movie_id,Person_id
0,0111161,0000209
1,0111161,0000151
2,0111161,0348409
3,0068646,0000008
4,0068646,0000199
5,0068646,0001001
6,0468569,0000288
7,0468569,0005132
8,0468569,0001173
9,0071562,0000199
10,0071562,0000134
11,0071562,0000380
12,0050083,0000020
13,0050083,0002011
14,0050083,0000842
15,0108052,0000553
16,0108052,0000146
17,0108052,0001426
18,0167260,0000704
19,0167260,0001557
20,0167260,0005212
21,0110912,0000237
22,0110912,0000235
23,0110912,0000168
24,0120737,0000704
25,0120737,0005212
26,0120737,0089217
27,0060196,0000142
28,0060196,0908919
29,0060196,0001812
30,0109830,0000158
31,0109830,0000705
32,0109830,0000641
33,0137523,0000093
34,0137523,0001570
35,0137523,0001533
36,0167261,0000704
37,0167261,0005212
38,0167261,0001557
39,1375666,0000138
40,1375666,0330687
41,1375666,0680983
42,0080684,0000434
43,0080684,0000148
44,0080684,0000402
45,0133093,0000206
46,0133093,0000401
47,0133093,0005251
48,0099685,0000134
49,0099685,0000501
50,0099685,0000582
51,0073486,0000197
52,0073486,0001221
53,0073486,0077720
54,0114369,0000151
55,0114369,0000093
56,0114369,0000228
57,0038650,0000071
58,0038650,0001656
59,0038650,0000859
60,0816692,0000190
61,0816692,0004266
62,0816692,1567113
63,0047478,0001536
64,0047478,0793766
65,0047478,0875477
66,0102926,0000149
67,0102926,0000164
68,0102926,0001277
69,0120815,0000158
70,0120815,0000354
71,0120815,0001744
72,0317248,1179105
73,0317248,1129884
74,0317248,0618690
75,0118799,0000905
76,0118799,0000971
77,0118799,0134493
78,0120689,0000158
79,0120689,0003817
80,0120689,0001556
81,0103064,0000216
82,0103064,0000157
83,0103064,0000411
84,0076759,0000434
85,0076759,0000148
86,0076759,0000402
87,9362722,4271336
88,9362722,2794962
89,9362722,3109964
90,0088763,0000150
91,0088763,0000502
92,0088763,0000670
93,0245429,0153738
94,0245429,0687189
95,0245429,0997115
96,0253474,0004778
97,0253474,0470981
98,0253474,0277975
99,6751668,0814280
100,6751668,1310525
101,6751668,1856097
102,0054215,0000578
103,0054215,0001463
104,0054215,0587256
105,0172495,0000128
106,0172495,0001618
107,0172495,0001567
108,0110357,0000111
109,0110357,0000460
110,0110357,0000469
111,0110413,0000606
