,Movie_id,Person_id
463,0057115,0001258
464,0057115,0000277
465,0266543,0000983
466,0266543,0001122
467,0266543,1071252
468,0042876,0001536
469,0042876,0477553
470,0042876,0605270
471,0080678,0000164
472,0080678,0000457
473,0080678,0000843
474,0347149,0047962
475,0347149,0454120
476,0347149,0309107
477,0071315,0000197
478,0071315,0001159
479,0071315,0001379
480,1392214,0413168
481,1392214,0350453
482,1392214,0205626
483,0046912,0001537
484,0046912,0000038
485,0046912,0191950
486,0031381,0000022
487,0031381,0000046
488,0031381,0593775
489,0434409,0915989
490,0434409,0000204
491,0434409,0001291
492,0120735,0002076
493,0120735,0002077
494,0120735,0602941
495,1305806,0201857
496,1305806,0897845
497,1305806,0706567
498,0081398,0000134
499,0081398,0001550
500,0081398,0000582
501,2096673,0688132
502,2096673,0352778
503,2096673,0085400
504,5027774,0000531
505,5027774,0000437
506,5027774,0005377
507,0117951,0000191
508,0117951,0001971
509,0117951,0001538
510,0050212,0000034
511,0050212,0000027
512,0050212,0370144
513,10872600,4043618
514,10872600,3918035
515,10872600,1212722
516,0116282,0000513
517,0116282,0000531
518,0116282,0000114
519,23289160,4947538
520,23289160,2747232
521,23289160,1126340
522,1291584,0362766
523,1291584,0000560
524,1291584,0249291
525,4729430,0005403
526,4729430,0799777
527,4729430,0429069
528,0264464,0000138
529,0264464,0000158
530,0264464,0000686
531,1205489,0000142
532,1205489,3057402
533,1205489,1542291
534,0096283,0847054
535,0096283,0383022
536,0096283,0757076
537,0405159,0005476
538,0405159,0000142
539,0405159,0000151
540,1201607,0705356
541,1201607,0914612
542,1201607,0342488
543,0118849,0619870
544,0118849,0268488
545,0118849,0781245
546,0083658,0000148
547,0083658,0000442
548,0083658,0000707
549,2024544,0252230
550,2024544,0931324
551,2024544,1055413
552,0112471,0000160
553,0112471,0000365
554,0112471,0248600
555,2278388,0000146
556,2278388,0000719
557,2278388,0023832
558,0052618,0000032
559,0052618,0370144
560,0052618,0000963
561,0072684,0641939
562,0072684,0001943
563,0072684,0535861
564,2267998,0000255
565,2267998,0683253
566,2267998,0000439
567,0015864,0000122
568,0015864,0841501
569,0015864,0615306
570,2119532,1940449
571,2119532,0941777
572,2119532,3478396
573,0107207,0000358
574,0107207,0000592
575,0107207,0188949
576,0353969,0814280
577,0353969,1235292
578,0353969,1323287
579,0047296,0000008
580,0047296,0001500
581,0047296,0002011
582,0017925,0000036
583,0017925,0533045
584,0017925,0147070
585,0077416,0000134
586,0077416,0000686
587,0077416,0001030
588,0097165,0000245
589,0097165,0000494
590,0097165,0000160
591,3011894,0334882
592,3011894,0555404
593,3011894,0897640
594,1392190,0362766
595,1392190,0000234
596,1392190,0396558
597,0050986,0803705
598,0050986,0000761
599,0050986,0862026
600,0015324,0000036
601,0015324,0570230
602,0015324,0444172
603,0041959,0000080
604,0041959,0001072
605,0041959,0885098
606,0046268,0598971
607,0046268,0889024
608,0046268,0886870
609,0198781,0000345
610,0198781,0000422
611,0198781,0316701
612,0073195,0001702
613,0073195,0001727
614,0073195,0000377
615,0892769,0059431
616,0892769,0124930
617,0892769,2395586
618,0031679,0000071
619,0031679,0000795
620,0031679,0001647
621,0978762,0001057
622,0978762,0000450
623,0978762,0051509
624,1950186,0000354
625,1950186,0000288
626,1950186,1256532
627,0382932,0004951
628,0382932,0738918
629,0382932,0652663
630,0050976,0001884
631,0050976,0085038
632,0050976,0252345
633,3170832,0488953
634,3170832,5016878
635,3170832,0108703
636,0118715,0000313
637,0118715,0000422
638,0118715,0000194
639,0046438,0753479
640,0046438,0383261
641,0046438,0945522
642,0075148,0000230
643,0075148,0001735
644,0075148,0949350
645,0395169,0000332
646,0395169,0645683
647,0395169,0001618
648,3315342,0413168
649,3315342,0001772
650,3315342,6748436
651,1895587,0749263
652,1895587,0000474
653,1895587,1046097
654,0091763,0000221
655,0091763,0000297
656,0091763,0000353
657,0019254,0266029
658,0019254,0798564
659,0019254,0075551
660,0088247,0000216
661,0088247,0000157
662,0088247,0000299
663,15097216,1421814
664,15097216,7934649
665,15097216,8904193
666,0381681,0000160
667,0381681,0000365
668,0381681,0229943
669,0036868,0001485
670,0036868,0000763
671,0036868,0545298
672,0113247,0001993
673,0113247,0468003
674,0113247,0846548
675,1979320,0117709
676,1979320,1165110
677,1979320,1312575
678,0074958,0001159
679,0074958,0000034
680,0074958,0002075
681,0070047,0000995
682,0070047,0001884
683,0070047,0000304
684,0092005,0000696
685,0092005,0000203
686,0092005,0000397
687,0325980,0000136
688,0325980,0001691
689,0325980,0089217
690,0032138,0000023
691,0032138,0604656
692,0032138,0001961
693,0317705,0005266
694,0317705,0000168
695,0317705,0000456
696,0758758,0386472
697,0758758,0000681
698,0758758,0001416
699,1028532,0000152
700,1028532,0000260
701,1028532,0846480
702,4016934,1195119
703,4016934,1978402
704,4016934,2437361
705,0035446,0001479
706,0035446,0000912
707,0035446,0821041
708,0476735,1002038
709,0476735,0476334
710,0476735,0406157
711,0032551,0000020
712,0032551,0002034
713,0032551,0001017
714,0058946,0352835
715,0058946,0552483
716,0058946,0754272
717,0107048,0000195
718,0107048,0000510
719,0107048,0254402
720,0059742,0000267
721,0059742,0001626
722,0059742,0662223
723,0245712,0248408
724,0245712,0305558
725,0245712,0865949
726,0032976,0000059
727,0032976,0000021
728,0032976,0001695
729,0061512,0000056
730,0061512,0001421
731,0061512,0001510
732,0129167,0547349
733,0129167,0001065
734,0129167,0000098
735,1454029,0205626
736,1454029,1297015
737,1454029,0818055
738,0025316,0000022
739,0025316,0001055
740,0025316,0175369
741,0053198,0529543
742,0053198,0753716
743,0053198,0561158
744,4430212,0222426
745,4430212,1328152
746,4430212,0007102
747,0103639,0918334
748,0103639,0000245
749,0103639,0488306
