,id,Name
217,0000401,Laurence Fishburne
218,0005251,Carrie-Anne Moss
219,0000501,Ray Liotta
220,0000582,Joe Pesci
221,0000197,Jack Nicholson
222,0001221,Louise Fletcher
223,0077720,Michael Berryman
224,0000228,Kevin Spacey
225,0000071,James Stewart
226,0001656,Donna Reed
227,0000859,Lionel Barrymore
228,0000190,Matthew McConaughey
229,0004266,Anne Hathaway
230,1567113,Jessica Chastain
231,0001536,Toshirô Mifune
232,0793766,Takashi Shimura
233,0875477,Keiko Tsushima
234,0000149,Jodie Foster
235,0000164,Anthony Hopkins
236,0001277,Scott Glenn
237,0000354,Matt Damon
238,0001744,Tom Sizemore
239,1179105,Alexandre Rodrigues
240,1129884,Leandro Firmino
241,0618690,Matheus Nachtergaele
242,0000971,Nicoletta Braschi
243,0134493,Giorgio Cantarini
244,0003817,Michael Clarke Duncan
245,0001556,David Morse
246,0000216,Arnold Schwarzenegger
247,0000157,Linda Hamilton
248,0000411,Edward Furlong
249,4271336,Shameik Moore
250,2794962,Hailee Steinfeld
251,3109964,Brian Tyree Henry
252,0000150,Michael J. Fox
253,0000502,Christopher Lloyd
254,0000670,Lea Thompson
255,0153738,Daveigh Chase
256,0687189,Suzanne Pleshette
257,0997115,Miyu Irino
258,0004778,Adrien Brody
259,0470981,Thomas Kretschmann
260,0277975,Frank Finlay
261,0814280,Song Kang-ho
262,1310525,Lee Sun-kyun
263,1856097,Cho Yeo-jeong
264,0000578,Anthony Perkins
265,0001463,Janet Leigh
266,0587256,Vera Miles
267,0000128,Russell Crowe
268,0001618,Joaquin Phoenix
269,0001567,Connie Nielsen
270,0000111,Matthew Broderick
271,0000460,Jeremy Irons
272,0000469,James Earl Jones
273,0000606,Jean Reno
274,0000198,Gary Oldman
275,0000204,Natalie Portman
276,0000350,Beverly D'Angelo
277,1886602,Miles Teller
278,0799777,J.K. Simmons
279,2552034,Melissa Benoist
280,0413168,Hugh Jackman
281,0424060,Scarlett Johansson
282,0851302,Tsutomu Tatsumi
283,0794186,Ayano Shiraishi
284,0945312,Akemi Yamaguchi
285,0619938,Tatsuya Nakadai
286,0410968,Akira Ishihama
287,0412615,Shima Iwashita
288,0000321,Gabriel Byrne
289,0001590,Chazz Palminteri
290,0000007,Humphrey Bogart
291,0000006,Ingrid Bergman
292,0002134,Paul Henreid
293,0167388,François Cluzet
294,1082477,Omar Sy
295,0494504,Anne Le Ny
296,0002104,Paulette Goddard
297,0074788,Henry Bergman
298,0634159,Philippe Noiret
299,0134073,Enzo Cannavale
300,0041066,Antonella Attili
301,0000038,Grace Kelly
302,0179819,Wendell Corey
303,0000314,Charles Bronson
304,0001012,Claudia Cardinale
305,0000244,Sigourney Weaver
306,0000643,Tom Skerritt
307,0000457,John Hurt
308,5447706,Vikrant Massey
309,10791162,Medha Shankar
310,9744869,Joshi Anantvijay
311,0156039,Virginia Cherrill
312,5681967,Florence Lee
313,0000640,Martin Sheen
314,0004937,Jamie Foxx
315,0910607,Christoph Waltz
316,0001602,Guy Pearce
317,0001592,Joe Pantoliano
318,0123785,Ben Burtt
319,2264184,Elissa Knight
320,0307531,Jeff Garlin
321,0000261,Karen Allen
322,0293550,Paul Freeman
323,0618057,Ulrich Mühe
324,0311476,Martina Gedeck
325,0462407,Sebastian Koch
326,0000034,William Holden
327,0841797,Gloria Swanson
328,0002233,Erich von Stroheim
329,0000018,Kirk Douglas
330,0576127,Ralph Meeker
331,0579663,Adolphe Menjou
332,0000375,Robert Downey Jr.
333,1165110,Chris Hemsworth
334,0749263,Mark Ruffalo
335,2159926,Jake Johnson
336,0001167,Shelley Duvall
337,0515950,Danny Lloyd
338,0000061,Tyrone Power
339,0000017,Marlene Dietrich
340,0001452,Charles Laughton
341,0642988,Jack Oakie
342,0000299,Michael Biehn
343,0001343,Carrie Henn
344,1208167,Diane Kruger
345,0744834,Eli Roth
346,0362766,Tom Hardy
347,0000906,Annette Bening
348,0000301,Thora Birch
349,0000634,Peter Sellers
350,0001715,George C. Scott
351,0001330,Sterling Hayden
352,0158856,Choi Min-sik
353,0949167,Yoo Ji-tae
354,1367246,Kang Hye-jeong
355,5645519,Anthony Gonzalez
356,0305558,Gael García Bernal
357,0000973,Benjamin Bratt
358,0000719,F. Murray Abraham
359,0001371,Tom Hulce
360,0000931,Elizabeth Berridge
361,0000741,Tim Allen
362,0725543,Don Rickles
363,0614165,Cillian Murphy
364,1289434,Emily Blunt
365,0001638,Jürgen Prochnow
366,0344963,Herbert Grönemeyer
367,0921044,Klaus Wennemann
368,0000521,Sophie Marceau
369,0001526,Patrick McGoohan
370,0262635,Chris Evans
371,5939164,Zazie Beetz
372,0559444,Yôji Matsuda
373,0410942,Yuriko Ishida
374,0849100,Yûko Tanaka
375,0000245,Robin Williams
376,0000255,Ben Affleck
377,1126340,Ryunosuke Kamiki
378,4759838,Mone Kamishiraishi
379,6954008,Ryo Narita
380,0000249,James Woods
381,0001527,Elizabeth McGovern
382,0534856,Madhavan
383,1587175,Mona Singh
384,0755403,Yutaka Sada
385,0640307,Donald O'Connor
386,0001666,Debbie Reynolds
387,9862858,Zain Al Rafeea
388,9862859,Yordanos Shiferaw
389,9862860,Boluwatife Treasure Bankole
390,0000995,Ellen Burstyn
391,0001467,Jared Leto
392,0000124,Jennifer Connelly
393,0470385,Aleksey Kravchenko
