,Movie_id,Title,Year,Runtime,Parental_Guide,Gross_US_Canada
95,0062622,2001: A Space Odyssey,1968,149,G,60481243.0
96,0105236,Reservoir Dogs,1992,99,R,2832029.0
97,0044741,Ikiru,1952,143,Unrated,60239.0
98,0056172,Lawrence of Arabia,1962,218,Approved,45306425.0
99,0053604,The Apartment,1960,125,Approved,18600000.0
100,0033467,Citizen Kane,1941,119,PG,1627530.0
101,0053125,North by Northwest,1959,136,Approved,66728.0
102,0022100,M,1931,99,Passed,35566.0
103,0052357,Vertigo,1958,128,PG,7705225.0
104,0036775,Double Indemnity,1944,107,Passed,
105,0086250,Scarface,1983,170,18+,45967303.0
106,0211915,Amélie,2001,122,R,33225499.0
107,14230458,Poor Things,2023,141,R,24792797.0
108,1255953,Incendies,2010,131,R,2071334.0
109,0093058,Full Metal Jacket,1987,116,R,46357676.0
110,0066921,A Clockwork Orange,1971,136,X,26617553.0
111,0113277,Heat,1995,170,R,67436818.0
112,1049413,Up,2009,96,PG,293004164.0
113,0056592,To Kill a Mockingbird,1962,129,Approved,592237.0
114,0070735,The Sting,1973,129,PG,156000000.0
115,1832382,A Separation,2011,123,PG-13,7099055.0
116,0097576,Indiana Jones and the Last Crusade,1989,127,PG-13,197171806.0
117,8503618,Hamilton,2020,160,PG-13,
118,0095016,Die Hard,1988,132,R,85892546.0
119,0017136,Metropolis,1927,153,Unrated,1236166.0
120,0986264,Like Stars on Earth,2007,162,PG,1223869.0
121,0208092,Snatch,2000,102,R,30328156.0
122,0040522,Bicycle Thieves,1948,89,Unrated,371111.0
123,0119488,L.A. Confidential,1997,138,R,64616940.0
124,8579674,1917,2019,119,R,159227644.0
125,0075314,Taxi Driver,1976,114,R,28262574.0
126,0363163,Downfall,2004,156,R,5509040.0
127,5074352,Dangal,2016,161,Unrated,12391761.0
128,0059578,For a Few Dollars More,1965,132,R,15000000.0
129,0372784,Batman Begins,2005,140,PG-13,206863479.0
130,0053291,Some Like It Hot,1959,121,Passed,
131,0993846,The Wolf of Wall Street,2013,180,R,116900694.0
132,0012349,The Kid,1921,68,Passed,
133,6966692,Green Book,2018,130,PG-13,85080171.0
134,10272386,The Father,2020,97,PG-13,2122771.0
135,1745960,Top Gun: Maverick,2022,130,PG-13,718732821.0
136,0042192,All About Eve,1950,138,Passed,63463.0
137,0055031,Judgment at Nuremberg,1961,179,Approved,
138,0120382,The Truman Show,1998,103,PG,125618201.0
139,0469494,There Will Be Blood,2007,158,R,40222514.0
140,1130884,Shutter Island,2010,138,R,128012934.0
141,0112641,Casino,1995,178,R,42512375.0
142,0089881,Ran,1985,160,R,4135750.0
143,0107290,Jurassic Park,1993,127,PG-13,407185075.0
144,0167404,The Sixth Sense,1999,107,PG-13,293506292.0
145,0457430,Pan's Labyrinth,2006,118,R,37646380.0
146,0105695,Unforgiven,1992,130,R,101167799.0
147,0268978,A Beautiful Mind,2001,135,PG-13,170742341.0
148,0477348,No Country for Old Men,2007,122,R,74283625.0
149,0040897,The Treasure of the Sierra Madre,1948,126,Passed,5014000.0
150,0055630,Yojimbo,1961,110,Unrated,46808.0
151,0084787,The Thing,1982,109,R,19857465.0
152,0266697,Kill Bill: Vol. 1,2003,111,R,70099045.0
153,0071853,Monty Python and the Holy Grail,1975,91,PG,2562392.0
154,0057115,The Great Escape,1963,172,Approved,
155,0266543,Finding Nemo,2003,100,G,380843261.0
156,0042876,Rashomon,1950,88,Unrated,46808.0
157,0080678,The Elephant Man,1980,124,PG,26010864.0
158,0347149,Howl's Moving Castle,2004,119,PG,6789268.0
159,0071315,Chinatown,1974,130,R,29200000.0
160,1392214,Prisoners,2013,153,R,61002302.0
161,0046912,Dial M for Murder,1954,105,PG,24845.0
162,0031381,Gone with the Wind,1939,238,Passed,200882193.0
163,0434409,V for Vendetta,2005,132,R,70511035.0
164,0120735,"Lock, Stock and Two Smoking Barrels",1998,107,R,3753929.0
165,1305806,The Secret in Their Eyes,2009,129,R,6391436.0
166,0081398,Raging Bull,1980,129,R,23383987.0
167,2096673,Inside Out,2015,95,PG,356921711.0
168,5027774,"Three Billboards Outside Ebbing, Missouri",2017,115,R,54513740.0
169,0117951,Trainspotting,1996,93,R,16491080.0
170,0050212,The Bridge on the River Kwai,1957,161,PG,27200000.0
171,10872600,Spider-Man: No Way Home,2021,148,PG-13,814115070.0
172,0116282,Fargo,1996,98,R,24611975.0
173,23289160,Godzilla Minus One,2023,124,PG-13,55009463.0
174,1291584,Warrior,2011,140,PG-13,13657115.0
175,4729430,Klaus,2019,96,PG,
176,0264464,Catch Me If You Can,2002,141,PG-13,164615351.0
177,1205489,Gran Torino,2008,116,R,148095302.0
178,0096283,My Neighbor Totoro,1988,86,G,2250213.0
179,0405159,Million Dollar Baby,2004,132,PG-13,100492203.0
180,1201607,Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,381447587.0
181,0118849,Children of Heaven,1997,89,PG,933933.0
182,0083658,Blade Runner,1982,117,R,32914489.0
183,2024544,12 Years a Slave,2013,134,R,56671993.0
184,0112471,Before Sunrise,1995,101,R,5535405.0
185,2278388,The Grand Budapest Hotel,2014,99,R,59301324.0
186,0052618,Ben-Hur,1959,212,G,74432704.0
187,0072684,Barry Lyndon,1975,185,PG,
188,2267998,Gone Girl,2014,149,R,167767189.0
189,0015864,The Gold Rush,1925,95,Passed,
190,2119532,Hacksaw Ridge,2016,139,R,67209615.0
191,0107207,In the Name of the Father,1993,133,R,25096862.0
192,0353969,Memories of Murder,2003,132,Unrated,15357.0
193,0047296,On the Waterfront,1954,108,Approved,
194,0017925,The General,1926,78,Passed,
195,0077416,The Deer Hunter,1978,183,R,48979328.0
196,0097165,Dead Poets Society,1989,128,PG,95860116.0
197,3011894,Wild Tales,2014,122,R,3106530.0
198,1392190,Mad Max: Fury Road,2015,120,R,154280290.0
199,0050986,Wild Strawberries,1957,91,Unrated,
200,0015324,Sherlock Jr.,1924,45,Passed,977375.0
201,0041959,The Third Man,1949,93,Approved,1067364.0
202,0046268,The Wages of Fear,1953,131,Unrated,
203,0198781,"Monsters, Inc.",2001,92,G,290642256.0
204,0073195,Jaws,1975,124,PG,266567580.0
205,0892769,How to Train Your Dragon,2010,98,PG,217581231.0
206,0031679,Mr. Smith Goes to Washington,1939,129,Passed,144738.0
207,0978762,Mary and Max,2009,92,Unrated,
208,1950186,Ford v Ferrari,2019,152,PG-13,117624357.0
209,0382932,Ratatouille,2007,111,G,206445654.0
210,0050976,The Seventh Seal,1957,96,Unrated,
211,3170832,Room,2015,118,R,14677654.0
212,0118715,The Big Lebowski,1998,117,R,19301403.0
213,0046438,Tokyo Story,1953,136,Unrated,
