,Movie_id,Genre
0,0111161,Drama
1,0068646,Crime
2,0068646,Drama
3,0468569,Action
4,0468569,Crime
5,0468569,Drama
6,0071562,Crime
7,0071562,Drama
8,0050083,Crime
9,0050083,Drama
10,0108052,Biography
11,0108052,Drama
12,0108052,History
13,0167260,Action
14,0167260,Adventure
15,0167260,Drama
16,0110912,Crime
17,0110912,Drama
18,0120737,Action
19,0120737,Adventure
20,0120737,Drama
21,0060196,Adventure
22,0060196,Western
23,0109830,Drama
24,0109830,Romance
25,0137523,Drama
26,0167261,Action
27,0167261,Adventure
28,0167261,Drama
29,1375666,Action
30,1375666,Adventure
31,1375666,Sci-Fi
32,0080684,Action
33,0080684,Adventure
34,0080684,Fantasy
35,0133093,Action
36,0133093,Sci-Fi
37,0099685,Biography
38,0099685,Crime
39,0099685,Drama
40,0073486,Drama
41,0114369,Crime
42,0114369,Drama
43,0114369,Mystery
44,0038650,Drama
45,0038650,Family
46,0038650,Fantasy
47,0816692,Adventure
48,0816692,Drama
49,0816692,Sci-Fi
50,0047478,Action
51,0047478,Drama
52,0102926,Crime
53,0102926,Drama
54,0102926,Thriller
55,0120815,Drama
56,0120815,War
57,0317248,Crime
58,0317248,Drama
59,0118799,Comedy
60,0118799,Drama
61,0118799,Romance
62,0120689,Crime
63,0120689,Drama
64,0120689,Fantasy
65,0103064,Action
66,0103064,Sci-Fi
67,0076759,Action
68,0076759,Adventure
69,0076759,Fantasy
70,9362722,Animation
71,9362722,Action
72,9362722,Adventure
73,0088763,Adventure
74,0088763,Comedy
75,0088763,Sci-Fi
76,0245429,Animation
77,0245429,Adventure
78,0245429,Family
79,0253474,Biography
80,0253474,Drama
81,0253474,Music
82,6751668,Drama
83,6751668,Thriller
84,0054215,Horror
85,0054215,Mystery
86,0054215,Thriller
87,0172495,Action
88,0172495,Adventure
89,0172495,Drama
90,0110357,Animation
91,0110357,Adventure
92,0110357,Drama
93,0110413,Action
94,0110413,Crime
95,0110413,Drama
96,0407887,Crime
97,0407887,Drama
98,0407887,Thriller
99,0120586,Crime
100,0120586,Drama
101,2582802,Drama
102,2582802,Music
103,0482571,Drama
104,0482571,Mystery
105,0482571,Sci-Fi
106,0095327,Animation
107,0095327,Drama
108,0095327,War
109,0056058,Action
110,0056058,Drama
111,0056058,Mystery
112,0114814,Crime
113,0114814,Drama
114,0114814,Mystery
115,0034583,Drama
116,0034583,Romance
117,0034583,War
118,1675434,Biography
119,1675434,Comedy
120,1675434,Drama
121,0027977,Comedy
122,0027977,Drama
123,0027977,Romance
124,0095765,Drama
125,0095765,Romance
126,0047396,Mystery
127,0047396,Thriller
128,0064116,Western
129,0078748,Horror
130,0078748,Sci-Fi
131,23849204,Biography
132,23849204,Drama
133,0021749,Comedy
134,0021749,Drama
135,0021749,Romance
136,0078788,Drama
137,0078788,Mystery
138,0078788,War
139,1853728,Drama
140,1853728,Western
141,0209144,Mystery
142,0209144,Thriller
143,0910970,Animation
144,0910970,Adventure
145,0910970,Family
146,0082971,Action
147,0082971,Adventure
148,0405094,Drama
149,0405094,Mystery
150,0405094,Thriller
151,0043014,Drama
152,0043014,Film-Noir
153,0050825,Drama
154,0050825,War
155,4154756,Action
156,4154756,Adventure
157,4154756,Sci-Fi
158,4633694,Animation
159,4633694,Action
160,4633694,Adventure
161,0081505,Drama
162,0081505,Horror
163,0051201,Crime
164,0051201,Drama
165,0051201,Mystery
166,0032553,Comedy
167,0032553,Drama
168,0032553,War
169,0090605,Action
170,0090605,Adventure
171,0090605,Sci-Fi
172,0361748,Adventure
173,0361748,Drama
174,0361748,War
175,1345836,Action
176,1345836,Drama
177,1345836,Thriller
178,0169547,Drama
179,0057012,Comedy
180,0057012,War
181,0364569,Action
182,0364569,Drama
183,0364569,Mystery
184,2380307,Animation
185,2380307,Adventure
186,2380307,Drama
187,0086879,Biography
188,0086879,Drama
189,0086879,Music
190,0114709,Animation
191,0114709,Adventure
192,0114709,Comedy
193,15398776,Biography
194,15398776,Drama
195,15398776,History
196,0082096,Drama
197,0082096,War
198,0112573,Biography
199,0112573,Drama
200,0112573,History
201,4154796,Action
202,4154796,Adventure
203,4154796,Drama
204,7286456,Crime
205,7286456,Drama
206,7286456,Thriller
207,0119698,Animation
208,0119698,Action
209,0119698,Adventure
210,0119217,Drama
211,0119217,Romance
212,5311514,Animation
213,5311514,Drama
214,5311514,Fantasy
215,0087843,Crime
216,0087843,Drama
217,1187043,Comedy
218,1187043,Drama
219,0057565,Crime
220,0057565,Drama
221,0057565,Mystery
222,0045152,Comedy
223,0045152,Musical
224,0045152,Romance
225,8267604,Drama
226,0180093,Drama
227,0091251,Drama
228,0091251,Thriller
229,0091251,War
230,0435761,Animation
231,0435761,Adventure
232,0435761,Comedy
233,0086190,Action
234,0086190,Adventure
235,0086190,Fantasy
236,0338013,Drama
237,0338013,Romance
238,0338013,Sci-Fi
239,2106476,Drama
240,0062622,Adventure
241,0062622,Sci-Fi
242,0105236,Crime
243,0105236,Thriller
244,0044741,Drama
245,0056172,Adventure
246,0056172,Biography
247,0056172,Drama
248,0053604,Comedy
249,0053604,Drama
250,0053604,Romance
251,0033467,Drama
252,0033467,Mystery
253,0053125,Action
254,0053125,Adventure
255,0053125,Mystery
256,0022100,Crime
257,0022100,Mystery
258,0022100,Thriller
259,0052357,Mystery
260,0052357,Romance
261,0052357,Thriller
262,0036775,Crime
263,0036775,Drama
264,0036775,Film-Noir
265,0086250,Crime
266,0086250,Drama
267,0211915,Comedy
268,0211915,Romance
269,14230458,Comedy
270,14230458,Drama
271,14230458,Romance
272,1255953,Drama
273,1255953,Mystery
274,1255953,War
275,0093058,Drama
276,0093058,War
277,0066921,Crime
278,0066921,Sci-Fi
279,0113277,Action
280,0113277,Crime
281,0113277,Drama
282,1049413,Animation
283,1049413,Adventure
284,1049413,Comedy
285,0056592,Crime
286,0056592,Drama
287,0070735,Comedy
288,0070735,Crime
289,0070735,Drama
290,1832382,Drama
291,0097576,Action
292,0097576,Adventure
293,8503618,Biography
294,8503618,Drama
295,8503618,History
296,0095016,Action
297,0095016,Thriller
298,0017136,Drama
299,0017136,Sci-Fi
300,0986264,Drama
301,0986264,Family
302,0208092,Comedy
303,0208092,Crime
304,0040522,Drama
305,0119488,Crime
306,0119488,Drama
307,0119488,Mystery
308,8579674,Action
309,8579674,Drama
310,8579674,War
311,0075314,Crime
312,0075314,Drama
313,0363163,Biography
314,0363163,Drama
315,0363163,History
316,5074352,Action
317,5074352,Biography
318,5074352,Drama
319,0059578,Drama
320,0059578,Western
321,0372784,Action
322,0372784,Crime
323,0372784,Drama
324,0053291,Comedy
325,0053291,Music
326,0053291,Romance
327,0993846,Biography
328,0993846,Comedy
329,0993846,Crime
330,0012349,Comedy
331,0012349,Drama
332,0012349,Family
333,6966692,Biography
334,6966692,Comedy
335,6966692,Drama
336,10272386,Drama
337,10272386,Mystery
338,1745960,Action
339,1745960,Drama
340,0042192,Drama
341,0055031,Drama
342,0055031,War
343,0120382,Comedy
344,0120382,Drama
345,0469494,Drama
346,1130884,Mystery
347,1130884,Thriller
348,0112641,Crime
349,0112641,Drama
350,0089881,Action
351,0089881,Drama
352,0089881,War
353,0107290,Action
354,0107290,Adventure
355,0107290,Sci-Fi
356,0167404,Drama
357,0167404,Mystery
358,0167404,Thriller
359,0457430,Drama
360,0457430,Fantasy
361,0457430,War
362,0105695,Drama
363,0105695,Western
364,0268978,Biography
365,0268978,Drama
366,0268978,Mystery
367,0477348,Crime
368,0477348,Drama
369,0477348,Thriller
370,0040897,Adventure
371,0040897,Drama
372,0040897,Western
373,0055630,Action
374,0055630,Drama
375,0055630,Thriller
376,0084787,Horror
377,0084787,Mystery
378,0084787,Sci-Fi
379,0266697,Action
380,0266697,Crime
381,0266697,Thriller
382,0071853,Adventure
383,0071853,Comedy
384,0071853,Fantasy
385,0057115,Adventure
386,0057115,Drama
387,0057115,History
388,0266543,Animation
389,0266543,Adventure
390,0266543,Comedy
391,0042876,Crime
392,0042876,Drama
393,0042876,Mystery
394,0080678,Biography
395,0080678,Drama
396,0347149,Animation
397,0347149,Adventure
398,0347149,Family
399,0071315,Drama
400,0071315,Mystery
401,0071315,Thriller
402,1392214,Crime
403,1392214,Drama
404,1392214,Mystery
405,0046912,Crime
406,0046912,Thriller
407,0031381,Drama
408,0031381,Romance
409,0031381,War
410,0434409,Action
411,0434409,Drama
412,0434409,Sci-Fi
413,0120735,Action
414,0120735,Comedy
415,0120735,Crime
416,1305806,Drama
417,1305806,Mystery
418,1305806,Romance
419,0081398,Biography
420,0081398,Drama
421,0081398,Sport
422,2096673,Animation
423,2096673,Adventure
424,2096673,Comedy
425,5027774,Comedy
426,5027774,Crime
427,5027774,Drama
428,0117951,Drama
429,0050212,Adventure
430,0050212,Drama
431,0050212,War
432,10872600,Action
433,10872600,Adventure
434,10872600,Fantasy
435,0116282,Crime
436,0116282,Thriller
437,23289160,Action
438,23289160,Adventure
439,23289160,Drama
440,1291584,Action
441,1291584,Drama
442,1291584,Sport
443,4729430,Animation
444,4729430,Adventure
445,4729430,Comedy
446,0264464,Biography
447,0264464,Crime
448,0264464,Drama
449,1205489,Drama
450,0096283,Animation
451,0096283,Comedy
452,0096283,Family
453,0405159,Drama
454,0405159,Sport
455,1201607,Adventure
456,1201607,Family
457,1201607,Fantasy
458,0118849,Drama
459,0118849,Family
460,0118849,Sport
461,0083658,Action
462,0083658,Drama
463,0083658,Sci-Fi
464,2024544,Biography
465,2024544,Drama
466,2024544,History
467,0112471,Drama
468,0112471,Romance
469,2278388,Adventure
470,2278388,Comedy
471,2278388,Crime
472,0052618,Adventure
473,0052618,Drama
474,0072684,Adventure
475,0072684,Drama
476,0072684,War
477,2267998,Drama
478,2267998,Mystery
479,2267998,Thriller
480,0015864,Adventure
481,0015864,Comedy
482,0015864,Drama
483,2119532,Biography
484,2119532,Drama
485,2119532,History
486,0107207,Biography
487,0107207,Crime
488,0107207,Drama
